filename,category,april_events,is_valid_event
210.txt,entertainment," The new series of US drama 24, which portrays a Muslim family as a sleeper terrorist cell, is set to begin airing on Sky One in April. The Muslim Council of Britain has complained to broadcasting watchdog Ofcom about the unfair portrayal of Muslims in the series.",True
364.txt,entertainment," Will Smith's romantic comedy ""Hitch"" topped the North American box office for a second weekend in April.",True
365.txt,entertainment," Quentin Tarantino is set to direct an episode of the US television series CSI: Crime Scene Investigation, with filming scheduled to start in early April.",True
180.txt,entertainment, John McCririck was evicted from Celebrity Big Brother in April.,True
037.txt,entertainment, Shooting for the sequel to Pirates of the Caribbean is expected to begin in April.,True
221.txt,entertainment," The current series of Celebrity Big Brother ends in April, with contestants competing for a £50,000 charity prize.",True
155.txt,entertainment, The band's development ended tragically when songwriter Kurt Cobain committed suicide in April 1994.,True
008.txt,entertainment," The Evening Standard Theatre Awards in London took place in April, honoring stars and shows in the West End.
 The Producers, Sweeney Todd, and A Funny Thing Happened on the Way to the Forum were nominated for best musical.
 The Goat or Who is Sylvia?, The Pillowman, and The History Boys were shortlisted for best play.
 Various actors and actresses were nominated for awards, including best actress and best actor.
 The best director, best designer, outstanding newcomer, and The Charles Wintour Award were also part of the awards ceremony.",True
034.txt,entertainment," The 2004 Evening Standard British Film Awards took place, where Vera Drake won best film and Imelda Staunton won best actress for her role in the film. Other winners included Paddy Considine for best actor and Bridget Jones: The Edge of Reason for Evening Standard Readers' Film of 2004. The awards ceremony was held at The Savoy in central London.",True
030.txt,entertainment," The Chicago Film Critics Association (CFCA) named Sideways winner in five categories, including best film and best actor for Paul Giamatti.
 The Southeastern Film Critics awarded Sideways its best film of the year accolade, with director Alexander Payne winning best director and best screenplay shared with Jim Taylor.",True
353.txt,entertainment, The new bigscreen version of The Magic Roundabout was released in the UK on April 11th.,True
192.txt,entertainment," Jerry Springer is in London to speak at a fundraising dinner for the United Jewish Israel Appeal on Tuesday, which is expected to be attended by more than 800 guests.",True
019.txt,entertainment," The Broadway revival of The Glass Menagerie, starring Christian Slater and Jessica Lange, will have preview performances beginning in April at New York's Ethel Barrymore Theatre. The play is set to open on March 15th.",True
184.txt,entertainment, The new Top of the Pops programme is scheduled to launch in Spring next year in an extended format.,True
379.txt,entertainment," Quentin Tarantino is scheduled to direct the season finale of US television series CSI: Crime Scene Investigation, with filming starting in early April.",True
026.txt,entertainment," The National Gallery in the UK saw a big jump in visitor numbers in April, making it the country's most visited museum in 2004.",True
280.txt,entertainment, The Oscars show is scheduled for April.,True
040.txt,entertainment, The Independent Spirit Awards are scheduled for April.,True
297.txt,entertainment, The film comedy Meet The Fockers topped the US box office for a third week in April.,True
095.txt,entertainment," The Aviator won best film at the Golden Globe Awards in April, with Leonardo DiCaprio winning best actor.
 Clint Eastwood won best director for Million Dollar Baby and Hilary Swank won best actress.
 Jamie Foxx won best actor in a musical/comedy and Clive Owen and Natalie Portman won best supporting roles.
 Annette Bening won best actress in a musical/comedy for Being Julia.
 Mick Jagger and Dave Stewart won the best original song award for Old Habits Die Hard.
 Ian McShane was named best actor in a TV drama for Deadwood.
 The Golden Globes also honored the best in television, with Desperate Housewives winning best TV comedy show and Nip/Tuck winning best television drama.",True
335.txt,entertainment," The film Hide and Seek, starring Robert De Niro, topped the North American box office in April.",True
321.txt,entertainment," The UK music industry recorded an overall 3% increase in volume sales in April, mostly due to its robust albums market.",True
137.txt,entertainment, Tickets for the Glastonbury festival are expected to go on sale in April.,True
292.txt,entertainment," Preview performances of the musical Billy Elliot have been delayed to give the child actors a less arduous rehearsal schedule. The new preview performance dates are on 14, 20, and 27 April.",True
053.txt,entertainment," Boogeyman, a horror film produced by Sam Raimi, topped the North American box office in April.",True
047.txt,entertainment," The Berlin Film Festival, where Hotel Rwanda received a rousing reception and is nominated for three Oscars. Another film addressing the Rwandan genocide, Sometimes in April, is also competing for awards at the festival.",True
331.txt,entertainment, The Return (Vozvrashchenie) won the BBC Four World Cinema Award in April.,True
244.txt,entertainment," Richey Edwards, guitarist and lyricist for The Manic Street Preachers, vanished on 1 February 1995, which marks the 10year anniversary in April.",True
278.txt,entertainment," The inclusion of download formats in the Official UK Singles Chart has been delayed to 17 April to create a ""level playing field"" for independent labels.",True
327.txt,entertainment, Nicole Kidman won a restraining order against two paparazzi photographers in April after feeling threatened and intimidated by their actions.,True
079.txt,entertainment, The film The Return (Vozvrashchenie) won the BBC Four World Cinema Award in April.,True
253.txt,entertainment," The Brit Awards took place in April, where Scissor Sisters won three prizes, Franz Ferdinand won two prizes, Keane won two prizes, Joss Stone won an award, Robbie Williams' Angels was named the best song of the past 25 years, and various other artists won awards in different categories.",True
247.txt,entertainment, Britney Spears is suing eight insurance companies for refusing to reimburse her for cancelling her 2004 world tour.,True
284.txt,entertainment," The revamped BBC Radio 1 chart show, hosted by JK and Joel, will incorporate showbiz news, celebrity interviews, competitions, film and DVD charts, future single releases, and download sales into their main chart rundown starting from April.",True
128.txt,politics," Gordon Brown announced a freeze on petrol duty increases, a £1bn package to avoid big council tax rises, and boosts to childcare and maternity leave.
 Mr. Brown set out a 10year childcare strategy for if Labour wins the next election, including extending paid maternity leave and increasing free nursery education for three and fouryearolds from April 2007.",True
303.txt,politics," In February 1974, the UK general election resulted in a hung parliament with no party in overall control.
 Following failed negotiations, Sir Edward Heath resigned as Conservative leader in April 1974, leading to Harold Wilson forming a new minority Labour government.",True
116.txt,politics," The Commons work and pensions committee called for the Child Support Agency to be wound up unless it improved its service within weeks.
 The CSA was urged to draw up contingency plans, including the ""abandonment option"", to be presented to Parliament by Easter.",True
273.txt,politics, The Constitutional Reform Bill was entering its second reading in April.,True
312.txt,politics," The government plans to introduce regulations in April that would raise the pension age for council workers from 60 to 65, potentially leading to strikes by up to 1.4 million workers on 23 March.",True
104.txt,politics," Prince Charles and Camilla Parker Bowles announced their marriage on 8 April, with a civil ceremony to be held at Windsor Castle.
 A Daily Telegraph poll showed that twothirds of Britons support the couple's decision to marry, but opinions are divided on Mrs Parker Bowles' future title.
 The Queen and Duke of Edinburgh expressed happiness over the news, as did Princes William and Harry.
 The wedding will be a civil ceremony followed by a service of prayer and dedication in St George's Chapel, presided over by the Archbishop of Canterbury.
 The marriage is a sensitive issue due to Mrs Parker Bowles being divorced, with some opposition from Anglicans.",True
064.txt,politics, The EU announced that it will start accession talks with Croatia in April 2005.,True
375.txt,politics," Gordon Brown announced a oneoff £200 council tax refund for pensioners and a rise in child tax credit.
 The level at which house buyers pay stamp duty was doubled to £120,000.
 A rise in taxes on beer, wine, and cigarettes was announced.
 The personal income tax allowance will rise only in line with inflation from £4,745 to £4,895 next month.
 The child tax credit will rise in line with earnings, giving families an extra £5 a week.
 The level where people start paying inheritance tax will rise from £263,000 to £275,000 from April.",True
374.txt,politics," The Tory Party spring conference began in Brighton with speeches from various party members, including Oliver Letwin, Liam Fox, and Michael Howard. The Prevention of Terrorism Bill was also debated and passed in Parliament.",True
176.txt,politics," The new regulations regarding Gypsy and traveller sites, expected to be in force in the spring, will allow officials to serve ""temporary stop notices"" aimed at preventing works on a site before a council has had a chance to obtain a full legal ban.",True
411.txt,politics," The Conservative Party's spring conference took place in Brighton, where Michael Howard delivered a speech outlining the party's campaign strategy and goals for the upcoming election.",True
161.txt,politics, The EU has announced that it will start accession talks with Croatia in April 2005.,True
401.txt,politics," Tony Blair is likely to ask the Queen on 4 or 5 April to dissolve Parliament, signaling a potential election date of 5 May.",True
373.txt,politics," EU leaders are holding talks in Brussels on how to reenergise the sluggish European economy.
 UK Prime Minister Tony Blair is meeting his EU counterparts to finalize a package of measures aimed at stimulating growth and boosting employment.
 Plans could introduce a free market into everything from computer services to construction, with concerns about companies shifting staff to cheaper bases in Eastern Europe and the impact on social protections.
 There are worries about the number of workers from eastern European countries heading west and exacerbating high unemployment levels in Germany.",True
238.txt,politics," Save the Scottish Regiments campaign group is targeting nine marginal Labour seats at the General Election.
 The group will field a candidate against Armed Forces Minister Adam Ingram in East Kilbride.
 The campaigners unveiled a huge poster featuring Black Watch soldiers fighting in Iraq before announcing their election plans.
 Save the Scottish Regiments will join other campaigners at a rally in London in the spring.",True
012.txt,politics," In April, Tony Blair apologized to the Conlon and Maguire families for the wrongful jailing of 11 people for IRA bomb attacks on pubs in Guildford and Woolwich in 1974.",True
417.txt,politics," The Liberal Democrats unveiled their election slogan as ""the real alternative"" at their spring conference in Harrogate.
 All parties are campaigning hard for an expected election in May, although Prime Minister Tony Blair has not confirmed any timing.",True
173.txt,politics," Robert Napier won £2,450 in compensation last April after claiming he suffered from eczema due to slopping out in prison.",True
156.txt,politics, Sir John Gieve was made permanent secretary in April 2001.,True
142.txt,politics, The referendum on the EU Constitution is expected to be held in spring 2006.,True
383.txt,politics," The UK took over the chairmanship of the EU in July, with key themes of security, stability, and prosperity.
 The government suggested the referendum on the EU constitution could take place in spring 2006, with the Tories campaigning for a ""no"" vote.",True
340.txt,politics," Charles Kennedy plans to structure the party's general election campaign around the birth of his first child, expected in April.",True
157.txt,politics," In April, Robert KilroySilk was attacked with slurry by a protester in Manchester while arriving for a BBC radio show. The attacker claimed to be ""doing it in the name of Islam"".",True
180.txt,politics, The government saw off a backbench attempt to force changes to the Mental Capacity Bill by 297 votes to 203 in April.,True
182.txt,politics," The Prevention of Terrorism Bill, which proposes ""control orders"" allowing house arrest for terror suspects, is set for a vote in Parliament in April.",True
018.txt,politics, The 60th anniversary of the liberation of Auschwitz is scheduled for April.,True
030.txt,politics, The sixth national truancy sweep is scheduled to take place in April.,True
408.txt,politics," Michael Howard gave an upbeat speech at his party's spring conference in Brighton, where he criticized Labour's campaigning tactics and emphasized Tory policies on schools, taxes, immigration, and crime.",True
186.txt,politics," The row between Tony Blair and Ken Livingstone over Livingstone's ""Nazi"" comment to a Jewish reporter occurred in April.",True
225.txt,politics," Tony Blair faces his first prime minister's questions of 2005 amid speculation about his relationship with Gordon Brown.
 Gordon Brown is leaving Britain for a highprofile tour of Africa to highlight poverty issues.
 The prime minister is due to set out the themes of his party's next election manifesto later in the week.
 Gordon Brown is visiting Tanzania, Mozambique, and Kenya to highlight issues such as Aids, war, and famine.
 Labour MPs expressed discontent over claims made in journalist Robert Peston's new book during a meeting of the Parliamentary Labour Party.
 Tony Blair told MPs and peers that nothing will get in the way of a unified Labour Party with a unified position and winning the third term.
 The new book claims that Tony Blair initially told Gordon Brown he would stand down before the next election but changed his mind in June 2004.",True
351.txt,politics, Tony Blair ratcheted up Labour's preelection campaigning with a helicopter tour of the country and his speech at the party's spring conference. The election date is widely expected to be 5 May.,True
350.txt,politics, Gordon Brown delivered a speech at Labour's spring conference outlining the government's agenda for the next general election.,True
152.txt,politics," The law banning hunting with dogs in England and Wales came into force in April, leading to protests and demonstrations from both prohunting and antihunting groups.",True
032.txt,politics, Prohunt supporters are set to protest at Labour's spring conference.,True
082.txt,politics," The UK took over the chairmanship of the EU in July, with key themes of security, stability, and prosperity.
 The government suggested the referendum on the EU constitution could take place in spring 2006, with the Tories campaigning for a ""no"" vote.",True
041.txt,politics, Former Immigration Minister Beverly Hughes was forced to resign in April over abuses in the visa processing system.,True
069.txt,politics, Talks aimed at averting national strikes over pensions reforms are scheduled to take place in April.,True
336.txt,politics," Labour Party's spring conference in Gateshead
 Gordon Brown's speech on social justice, health, and education
 Tony Blair's speech and campaigning efforts in marginal seats
 Alleged benefits of showpiece projects like the Sage Centre in urban regeneration efforts",True
308.txt,politics," Sir Anthony Meyer, the Tory backbencher who challenged Margaret Thatcher for the party leadership in 1989, passed away in April.",True
057.txt,politics, The appointment of Al AynsleyGreen as the first children's commissioner for England occurred in April.,True
080.txt,politics, The government announced it had reached its 2004 target for improving adult maths and literacy skills earlier this month.,True
250.txt,politics," Various lobbying efforts by different groups to ensure their causes are debated ahead of an expected Spring election.
 Potential impact of the Hunting Bill repeal on the upcoming general election.
 Efforts to raise awareness about the use of live animals as targets for sport, both domestically and abroad.
 Focus on the importance of choice as an issue in the upcoming election.
 Concerns about a proposed fuel duty increase and its potential impact on road haulage workers.",True
050.txt,politics, A comprehensive ban on smoking in all enclosed public places in Scotland is scheduled to be introduced by the spring of 2006.,True
510.txt,sport, Sania Mirza made history by becoming the first Indian to win a WTA singles title at the Hyderabad Open in April.,True
458.txt,sport," The Australian Hardcourt Championships took place in Adelaide in April, where Lleyton Hewitt suffered a shock defeat to Taylor Dent in the quarterfinals.",True
317.txt,sport, Munster's Heineken Cup quarterfinal tie against Biarritz on 3 April has been switched to Real Sociedad's Paseo de Anoeta stadium in San Sebastian.,True
261.txt,sport, Middlesbrough's Uefa Cup group match against Partizan Belgrade is scheduled for April.,True
066.txt,sport," Kelly Holmes achieved double gold at the Olympic Games in April.
 Paula Radcliffe dropped out of the marathon and 10,000m at the Olympic Games in April.
 The men's 4x100m relay team from Britain won a shock gold at the Olympic Games in April.
 The New York Marathon took place in November, where Paula Radcliffe won.
 The London Marathon took place, with Kenyans Evans Rutto and Margaret Okayo winning the titles.",True
476.txt,sport," The Australian Open is scheduled for April, with Tim Henman facing Cyril Saulnier in the first round. Other notable matches include Greg Rusedski potentially facing Andy Roddick in the second round, Lleyton Hewitt facing Arnaud Clement, and Roger Federer facing Fabrice Santoro.",True
477.txt,sport," The Australian Open took place in April, with Carlos Moya suffering a shock loss to Guillermo GarciaLopez.
 Andre Agassi began his last Australian Open with a win over Dieter Kindlmann.
 Gael Monfils won a match against Robby Ginepri.
 Thomas Johansson won a match against Peter Luczak.
 Gaston Gaudio won a match against Justin Gimelstob.
 Dominik Hrbaty, Ivan Ljubicic, and Mario Ancic made comfortable progress in their matches.
 Albert Costa lost to Bjorn Phau in a match.",True
488.txt,sport, Serena Williams staged a remarkable recovery to beat Lindsay Davenport and win her second Australian Open title in April.,True
259.txt,sport," Liverpool claimed a draw against Portsmouth at Anfield, with Jerzy Dudek fumbling a cross leading to an injurytime equalizer by Lomana LuaLua. Liverpool had previously lost to Everton in a derby match and followed it up with a disappointing draw. They have a difficult game against Newcastle scheduled for April.",True
501.txt,sport, Ana Ivanovic captured her first WTA title in the final of the Canberra Classic in April.,True
065.txt,sport, Paula Radcliffe will compete in the Flora London Marathon on 17 April.,True
139.txt,sport, Manchester City held Chelsea to a draw with a brave defensive display led by David James in April.,True
176.txt,sport, Robbie Fowler scored a brace in a 32 win for Manchester City against Norwich in April.,True
002.txt,sport," Sonia O'Sullivan is preparing for the London marathon on 17 April.
 Sonia O'Sullivan will participate in the Bupa Great Ireland Run on 9 April in Dublin.",True
161.txt,sport," Claudio Ranieri was sacked as Valencia coach in April, just eight months after taking charge for the second time. This decision was made following the team's elimination from the Uefa Cup. Antonio Lopez was appointed as the new coach.",True
011.txt,sport," Paula Radcliffe is deciding whether to compete in the World CrossCountry Championships, which start on 19 March in France, as it may affect her preparations for the London Marathon on 17 April. The deadline for team nominations is Tuesday.",True
401.txt,sport," A mesmeric display by Gavin Henson in a Six Nations rugby match against England, including a matchwinning penalty, took place in April.",True
372.txt,sport, The Welsh Rugby Union proposes moving the Six Nations to April and May as part of a season overhaul.,True
428.txt,sport, Roger Federer had to save two match points before defeating Juan Carlos Ferrero at the Dubai Open in April.,True
004.txt,sport, The IAAF Council will meet in Qatar in April to receive reports from the two task forces on doping and nutrition issues.,True
212.txt,sport, Walter Smith was named as the new national manager of Scotland in April.,True
210.txt,sport, Carlos Tevez is joining Corinthians in Brazil for nearly $20m in a surprising move. The Brazilian Championship starts at the end of April.,True
013.txt,sport, Susan Chepkemei will be back to challenge Paula Radcliffe at this year's London Marathon event in April.,True
007.txt,sport, The Bupa Great Ireland Run is scheduled to take place on 9 April in Dublin. Athletes like Sonia O'Sullivan and Mark Carroll will be participating in the event.,True
234.txt,sport," The Hillsborough disaster occurred in April 1989, where 96 supporters were crushed to death.",True
221.txt,sport, The Old Firm CIS Cup clash between Celtic and Rangers is scheduled for April.,True
021.txt,sport," Susan Chepkemei has been banned from all local and international competitions until the end of the year, preventing her from challenging Paula Radcliffe at the London Marathon in April.",True
155.txt,sport, Liverpool's 31 win over Bayer Leverkusen took place in April.,True
394.txt,sport, Mike Tindall is targeting a return to action before the end of the regular Zurich Premiership season on 30 April.,True
419.txt,sport, Mike Tindall aims to be fit by 18 April for the Lions tour to New Zealand.,True
342.txt,sport, Jason Robinson will undergo an operation on his thumb and aims to be back playing early in April. England will announce their squad for the game against Italy on March 12th.,True
034.txt,sport," Various events occurred during the 2004 Olympics in Athens, including Kelly Holmes winning the 800m and 1500m races, the British men's 4x100m relay team winning a surprise victory, and Hicham El Guerrouj winning the 1500m and 5,000m titles.
 Paula Radcliffe faced challenges in the Athens Olympics, including dropping out of the marathon and struggling in the 10,000m race.
 Benita Johnson won the world cross country championships in March.
 Concerns were raised about the lack of British athletes reaching finals at senior and junior levels, with hopes for improvement leading up to the Beijing Olympics.",True
222.txt,sport, Middlesbrough's 20 Uefa Cup win against Lazio occurred in April.,True
232.txt,sport," Glenn Hoddle was appointed as the new Wolves manager in April, succeeding Dave Jones who was sacked due to the club's poor start to the season.",True
030.txt,sport," In April, walker Gillian O'Sullivan was unable to compete in the Olympics due to injury.
 In April, walker Jamie Costin was involved in a car crash near Athens.
 In April, Cathal Lombard tested positive for the banned substance EPO.
 In April, Cathal Lombard broke the national 10,000m record.
 In April, Sonia O'Sullivan won the Flora Lite 5K road race in London.",True
024.txt,sport, The Great Edinburgh International Cross Country is scheduled for April.,True
435.txt,sport, Sania Mirza achieved victory over Svetlana Kuznetsova at the Dubai Championships in April.,True
384.txt,sport," Ulster secured a Celtic League win over Borders at Netherdale on a Friday night in April. The match ended with a late try by Borders substitute Jonny Weston, but Ulster held on for the win.",True
151.txt,sport," Real Madrid played against Real Betis on Wednesday, with Owen scoring the first goal in a 31 victory.
 Real Madrid will play against Barcelona at the Bernabeu on 10 April.",True
145.txt,sport," Middlesbrough booked their place in the last 16 of the Uefa Cup.
 Boro will face Sporting Lisbon for a place in the quarterfinals in April.",True
019.txt,sport, The London Marathon is scheduled to take place on 17 April.,True
190.txt,sport," The second group of the Cosafa Cup will be hosted in Namibia in April, comprising Zimbabwe, Botswana, Mozambique, and the hosts.",True
423.txt,sport," Juan Carlos Ferrero participated in the ABN AMRO World Tennis Tournament in Rotterdam in April, facing tough competition and aiming to improve his ranking.",True
152.txt,sport, Manchester United faced AC Milan in a Champions League firstleg tie in April. Andriy Shevchenko was absent due to a fractured cheekbone. Ruud van Nistelrooy returned to play after being out for three months. Both teams were confident in their chances of winning the cup.,True
224.txt,sport, The LDV Vans Trophy win for Bristol City against Milton Keynes occurred in April.,True
451.txt,sport," The Chennai Open tennis tournament took place in April, where Carlos Moya successfully defended his title and donated his prize money to tsunami relief efforts.",True
136.txt,sport, Bayern Munich's Champions League match against Maccabi Tel Aviv was scheduled for April.,True
491.txt,sport," The 2004 Davis Cup final took place in Seville, with Spain leading 20 after Rafael Nadal beat Andy Roddick and Carlos Moya beat Mardy Fish in the opening matches.",True
446.txt,sport," Various tennis matches took place at the Australian Open in April, with players like Lindsay Davenport, Venus Williams, and Elena Dementieva advancing to the next rounds.",True
452.txt,sport," The Heineken Open in Auckland took place in April, where top seed Guillermo Coria was shocked by Olivier Rochus in the semifinal. Jan Hernych and Fernando Gonzalez also had wins in the tournament.",True
308.txt,sport," Various rugby matches and performances took place in April, with players like Gavin Henson, Stephen Jones, and Brian O'Driscoll making strong impressions for potential selection to the Lions team for a trip to New Zealand.",True
335.txt,sport, The Italy vs. Scotland Six Nations contest is scheduled for April.,True
043.txt,sport, Dave Collins was appointed as the new performance director for UK Athletics in April.,True
278.txt,sport, Chelsea salvaged a win against Portsmouth with goals from Arjen Robben and Joe Cole in April.,True
287.txt,sport, France coach Bernard Laporte made four changes to the starting lineup for the Six Nations clash with Wales in April.,True
508.txt,sport," The Buenos Aires Open took place in April, where Nicolas Almagro, Rafael Nadal, and other tennis players competed.",True
078.txt,sport," Kathy Butler won the 25th Cross Internacional de Venta de Banos in Spain in April.
 Abebe Dinkessa won the Brussels IAAF crosscountry race in April.",True
045.txt,sport, The Balco steroid distribution case trial date is set for April.,True
075.txt,tech," The first convictions for piracy over peertopeer networks have been handed down in the US, with William Trowbridge and Michael Chicoine pleading guilty to charges of copyright infringement. They are due to be sentenced on 29 April.",True
275.txt,tech," In April, the EC is due to start its own consultation on Europewide adoption of UWB.",True
264.txt,tech," By April, there were 100 million broadband connections worldwide.",True
311.txt,tech," Reviews of Call of Duty, Splinter Cell  Pandora Tomorrow, Lord of the Rings, and Pocket Kingdom are scheduled for April.",True
065.txt,tech, Yahoo was funded by venture capitalists Sequoia Capital in April 1995.,True
058.txt,tech, BT will double the broadband speeds of most of its home and business customers starting on 1 April.,True
174.txt,tech, The Hotseat Solo Chassis gaming chair is expected to go on sale in April for $399.,True
